Language	Value	Reference
Aari	 SV	Hayward 1990a: passim
Abau	 SV	Bailey 1975: passim
Abipón	 SV	Najlis 1966: passim 80, 87
Abkhaz	 SV	Hewitt 1979: 103
Abui	 SV	Kratochvil 2007: 11, 18
Abun	 SV	Berry 1995b: 5
Acehnese	 No dominant order	Durie 1985: passim
Achagua	 SV	Wilson and Levinsohn 1992: 2
Achang	 SV	Dai and Cui 1985: 69
Acholi	 SV	Crazzolara 1955: 43
Achumawi	 SV	Olmsted 1977: passim
Acoma	 SV	Maring 1967: 107-111, passim; Miller 1965: 175
Adang	 SV	Haan 2001: 220
Adioukrou	 SV	Herault 1978: 27-37, 249, 251, 253-255, passim
Adyghe (Abzakh)	 SV	Paris 1989: 219-220
Adynyamathanha	 SV	Schebeck 1974: 54, 58
Adzera	 SV	Holzknecht 1986: passim
Aekyom	 SV	Horowitz 2008: 4
Agarabi	 SV	Goddard 1967: 15
Aghem	 SV	Watters 1979: 143
Agta (Central)	 VS	Healey 1960: 35
Agta (Dupaningan)	 VS	Robinson 2008: 211
Ainu	 SV	Refsing 1986: 144, 268, 270; Shibatani 1990: 22 ; Dettmer 1989: 913
Aja	 SV	Santandrea 1976: passim
Ajagbe	 SV	Tchitchi 1984: 140-175
Akan	 SV	Christaller 1875: 36-37; Welmers 1946: 61
Akha	 SV	Dellinger 1969: 8, passim 197
Ala'ala	 SV	Clunn and Kolia 1977: passim
Alamblak	 SV	Bruce 1984: 188
Alawa	 No dominant order	Sharpe 1972: passim
Albanian	 SV	Newmark et al. 1982: passim
Aleut	 SV	Bergsland 1997: 126, 138
Alsea	 VS	Frachtenberg 1920: passim
Alune	 SV	Niggemeyer 1951: 65
Alyawarra	 SV	Yallop 1977: 129
Amahuaca	 No dominant order	Russell 1975: 91, 94
Amanab	 SV	Minch 1992: 134
Amara	 SV	Thurston 1996: 213
Ambae (Lolovoli Northeast)	 SV	Hyslop 2001: 57
Ambai	 SV	Silzer 1983: 174
Ambulas	 SV	Wilson 1980: 135-147, 185
Amdo (Themchen)	 SV	Haller 2004: passim
Amele	 SV	Roberts 1987: 70-71
Amharic	 SV	Leslau 1995: 836
Amis	 VS	Wu 2006: 73-74
Anamuxra	 SV	Ingram 2001
Anejom	 VS	Lynch 2000: 11, 114
Anêm	 SV	Thurston 1982: 16
Angami	 SV	Giridhar 1980: 92
Angas	 SV	Burquest 1973: 18
Anggor	 SV	Litteral 1972: passim
Anguthimri	 SV	Crowley 1981: 148, 179
//Ani	 SV	Heine 1999a: 58
Anindilyakwa	 VS	Leeding 1989: passim
Anong	 SV	Sun 1988: 60
Anufo	 SV	Smye 2004: 49
Anyi	 SV	Retord 1981: 149
Anywa	 No dominant order	Reh 1996: 314-315, 347-353
Ao	 SV	Coupe 2007: 152
Apache (Western)	 SV	Edgerton 1963: 104
Apalaí	 No dominant order	Koehn and Koehn 1986: 34
Apatani	 SV	Abraham 1985: 121
Apinayé	 SV	Callow 1962: 94-5109
Apurinã	 SV	Facundes 2000: 560
Arabana	 SV	Hercus 1994: 261
Arabic (Egyptian)	 SV	Gary and Gamal-Eldin 1982: 25, 59, 61, 102
Arabic (Gulf)	 SV	Holes 1990: 3, 107, 117 
