Language	Value	Reference
Aari	 Noun-Adjective	Hayward 1990a: 460-461
Abipón	 No dominant order	Najlis 1966: 82-83, 89
Abkhaz	 Noun-Adjective	Hewitt 1979: 56
Abui	 Noun-Adjective	Kratochvil 2007: 14
Abun	 Noun-Adjective	Berry 1995b: 97
Acehnese	 Noun-Adjective	Durie 1985: 108
Achagua	 Noun-Adjective	Wilson and Levinsohn 1992: 4
Achang	 No dominant order	Dai and Cui 1985: 49, 65, 72
Acholi	 Noun-Adjective	Crazzolara 1955: 51
Acoma	 No dominant order	Maring 1967: 116
Adang	 Noun-Adjective	Haan 2001: 122, 124
Adioukrou	 Noun-Adjective	Herault 1978: 83, 93
Adyghe (Abzakh)	 Noun-Adjective	Paris 1989: 170
Adynyamathanha	 Adjective-Noun	Schebeck 1974: 61
Adzera	 Noun-Adjective	Holzknecht 1986: 106
Aekyom	 Noun-Adjective	Horowitz 2008: 1
Agarabi	 Adjective-Noun	Goddard 1967: passim
Aghem	 Noun-Adjective	Hyman 1979: 27
Agta (Central)	 Adjective-Noun	Healey 1960: 56
Agta (Dupaningan)	 Adjective-Noun	Robinson 2008: 137
Ainu	 Adjective-Noun	Shibatani 1990: 23, 39 ; Dettmer 1989: 912; Refsing 1986: 153, 274
Aja	 Adjective-Noun	Santandrea 1976: 197, passim
Ajagbe	 Noun-Adjective	Tchitchi 1984: 298
Akan	 Noun-Adjective	Welmers 1946: 50-53; Christaller 1875: 47, 106
Akha	 Noun-Adjective	Hansson 2003: 241
Ala'ala	 Noun-Adjective	Lanyon-Orgill 1943: 644; Clunn and Kolia 1977: passim; Symonds 1989: 22, 62-63
Alamblak	 Adjective-Noun	Bruce 1984: 2, 117-118
Alawa	 No dominant order	Sharpe 1972: passim
Albanian	 Noun-Adjective	Mann 1977: 105-106; Newmark et al. 1982: 120-121, 124, passim 194
Alsea	 Adjective-Noun	Buckley 1989: 20, 24
Alune	 Noun-Adjective	Niggemeyer 1951: 65
Alyawarra	 Noun-Adjective	Yallop 1977: 116
Ama	 No dominant order	
Amahuaca	 Noun-Adjective	Russell 1975: 74, passim
Amanab	 Noun-Adjective	Minch 1992: 127, 129
Amara	 Noun-Adjective	Thurston 1996: 213
Amarakaeri	 Adjective-Noun	Helberg Chávez 1984: 431
Ambae (Lolovoli Northeast)	 Noun-Adjective	Hyslop 2001: 105, 123
Ambai	 Noun-Adjective	Silzer 1983: 79, 85, 107
Ambulas	 Adjective-Noun	Wilson 1980: 85, passim
Amdo (Themchen)	 No dominant order	Haller 2004: 61-62
Amele	 Noun-Adjective	Roberts 1987: 87
Amharic	 Adjective-Noun	Leslau 1995: 208
Amis	 Adjective-Noun	Wu 2006: 96
Amo	 Noun-Adjective	Di Luzio 1972: 19
Anamuxra	 Noun-Adjective	Ingram 2001
