Language	Value	Reference
Aari	 Noun-Numeral	Hayward 1990a: 462
Abau	 Noun-Numeral	Bailey 1975: passim
Abkhaz	 No dominant order	Hewitt 1979: 236-237
Abui	 Noun-Numeral	Kratochvil 2007: 163
Abun	 Noun-Numeral	Berry 1995b: 98
Acehnese	 Numeral-Noun	Durie 1985: 136
Achang	 Noun-Numeral	Dai and Cui 1985: passim 65, 72
Acholi	 Noun-Numeral	Crazzolara 1955: 62
Acoma	 No dominant order	Maring 1967: 119
Adang	 Noun-Numeral	Haan 2001: 122, 124
Adioukrou	 Noun-Numeral	Herault 1978: 93, 101
Adzera	 Noun-Numeral	Holzknecht 1986: 103-104
Aekyom	 Noun-Numeral	Horowitz 2008: 2
Agarabi	 Numeral-Noun	Goddard 1967: passim
Aghem	 Noun-Numeral	Hyman 1979: 27
Agta (Central)	 Numeral-Noun	Healey 1960: 52, passim
Agta (Dupaningan)	 Numeral-Noun	Robinson 2008: 145
Ainu	 Numeral-Noun	Dettmer 1989: 343; Refsing 1986: 115; Shibatani 1990: 24, 42 
Aja	 No dominant order	Santandrea 1976: 79
Ajagbe	 Noun-Numeral	Tchitchi 1984: 388
Akan	 Noun-Numeral	Welmers 1946: 51; Christaller 1875: 106
Akha	 Noun-Numeral	Hansson 2003: 241
Ala'ala	 Noun-Numeral	Symonds 1989: 12; Clunn and Kolia 1977: 46, 47
Alamblak	 Numeral-Noun	Bruce 1984: 102
Albanian	 Numeral-Noun	Newmark et al. 1982: 120, 124, 128, 248; Newmark 1957: 66-68
Alsea	 Numeral-Noun	Buckley 1989: 20, passim 24
Alune	 Noun-Numeral	Niggemeyer 1951: 66
Alyawarra	 Noun-Numeral	Yallop 1977: 116, 159
Amara	 Noun-Numeral	Thurston 1996: 213
Amarakaeri	 Numeral-Noun	Helberg Chávez 1984: 431
Ambae (Lolovoli Northeast)	 Noun-Numeral	Hyslop 2001: 105
Ambai	 Noun-Numeral	Silzer 1983: 72, 79, 85, 112
Ambulas	 Noun-Numeral	Wilson 1980: 85, passim
Amdo (Themchen)	 Noun-Numeral	Haller 2004: 61- 62
Amele	 Noun-Numeral	Roberts 1987: 89-90
Amharic	 Numeral-Noun	Cotterell 1964: 12
Amis	 Numeral-Noun	Wu 2006: 92
Amo	 Noun-Numeral	Di Luzio 1972: 23
Anamuxra	 Noun-Numeral	Ingram 2001
Anejom	 Noun-Numeral	Lynch 2000: 69
Anêm	 Noun-Numeral	Thurston 1982: 25
Angami	 Noun-Numeral	Subbarao et al 2000; Giridhar 1980: 92
Angas	 Noun-Numeral	Burquest 1973: 50-51, 60-61
Anggor	 Noun-Numeral	Litteral 1972: passim; Litteral 1980: 92
Anguthimri	 Noun-Numeral	Crowley 1981: 162
//Ani	 Numeral-Noun	Heine 1999a: 34
Anong	 Noun-Numeral	Sun 1988: 60
Anufo	 Noun-Numeral	Smye 2004: 29
Anywa	 Noun-Numeral	Lusted 1976: 510
Ao	 Noun-Numeral	Clark 1893: 13; Gowda 1975: 63; Mills 1926: passim
Apache (Western)	 Noun-Numeral	Edgerton 1963: passim 118
Apalaí	 No dominant order	Koehn and Koehn 1986: 88
Apatani	 Noun-Numeral	Abraham 1985: 26
Apurinã	 Numeral-Noun	Facundes 2000: 365, 458
Arabic (Egyptian)	 No dominant order	Gary and Gamal-Eldin 1982: 33, 111
Arabic (Gulf)	 Numeral-Noun	Holes 1990: 60 
Arabic (Iraqi)	 Numeral-Noun	Erwin 1963: 348 
Arabic (Kuwaiti)	 No dominant order	
Arabic (Modern Standard)	 Numeral-Noun	Cowan 1958: 184-185 
Arabic (Moroccan)	 Numeral-Noun	Harrell 1962: 189, 206 
Arabic (Syrian)	 No dominant order	Cowell 1964: 471-472, 509 
Araona	 No dominant order	Pitman 1980: 77-79, 91
