Language	Value	Reference
Abipón	 Initial interrogative phrase	Najlis 1966: 87
Abkhaz	 Not initial interrogative phrase	Hewitt 1979: 21
Abui	 Not initial interrogative phrase	Kratochvil 2007: 128
Abun	 Not initial interrogative phrase	Berry 1995b: 153ff
Acehnese	 Mixed	Durie 1985: 262-264
Achagua	 Initial interrogative phrase	Wilson and Levinsohn 1992: 9
Achang	 Not initial interrogative phrase	Dai and Cui 1985: passim
Acholi	 Not initial interrogative phrase	Crazzolara 1955: 96-97
Adang	 Not initial interrogative phrase	Haan 2001: passim
Adioukrou	 Not initial interrogative phrase	Herault 1978: 248
Adzera	 Not initial interrogative phrase	Holzknecht 1986: 142-145
Aekyom	 Not initial interrogative phrase	Horowitz 2008: own work
Agta (Central)	 Initial interrogative phrase	Healey 1960: 18
Agta (Dupaningan)	 Initial interrogative phrase	Robinson 2008: 224
Ainu	 Not initial interrogative phrase	Shibatani 1990: 82-83 
Akan	 Not initial interrogative phrase	Welmers 1946: 58; Christaller 1875: 148, passim
Akha	 Not initial interrogative phrase	Dellinger 1969: passim 166, 167, 169
Ala'ala	 Not initial interrogative phrase	Ross 2002d: 359
Alamblak	 Not initial interrogative phrase	Bruce 1984: 189
Amanab	 Not initial interrogative phrase	Minch 1992: 141
Ambae (Lolovoli Northeast)	 Not initial interrogative phrase	Hyslop 2001: passim
Ambai	 Not initial interrogative phrase	Silzer 1983: 227
Ambulas	 Not initial interrogative phrase	Wilson 1980: 171-172
Amele	 Not initial interrogative phrase	Roberts 1987: 34
Amharic	 Not initial interrogative phrase	Leslau 1995: 761
Anejom	 Not initial interrogative phrase	Lynch 2000: 134
Angas	 Not initial interrogative phrase	Burquest 1973: 152-155, 175
//Ani	 Not initial interrogative phrase	Heine 1999a: 66
Anufo	 Not initial interrogative phrase	Smye 2004: 24
Anywa	 Not initial interrogative phrase	Lusted 1976: 509
Ao	 Not initial interrogative phrase	Coupe 2007: 150
Apache (Western)	 Not initial interrogative phrase	Edgerton 1963: 138
Apalaí	 Not initial interrogative phrase	Koehn and Koehn 1986: 59, passim
Apatani	 Not initial interrogative phrase	Abraham 1985: 104
Apinayé	 Initial interrogative phrase	Callow 1962: 102, 184
Apurinã	 Initial interrogative phrase	Facundes 2000: 541
Arabic (Egyptian)	 Not initial interrogative phrase	Gary and Gamal-Eldin 1982: 6
Arabic (Gulf)	 Not initial interrogative phrase	Holes 1990: 3 
Arabic (Iraqi)	 Not initial interrogative phrase	Erwin 1963: 294 
Arabic (Kuwaiti)	 Not initial interrogative phrase	
Arabic (Syrian)	 Initial interrogative phrase	Cowell 1964: 566 
Arapesh (Abu)	 Not initial interrogative phrase	Nekitel 1985: 100
Arapesh (Mountain)	 Not initial interrogative phrase	Conrad and Wogiga 1991: 96-98
Archi	 Not initial interrogative phrase	Kibrik et al. 1977: passim
Armenian (Eastern)	 Not initial interrogative phrase	
Armenian (Western)	 Not initial interrogative phrase	Gulian 1965: passim
Arop-Lokep	 Not initial interrogative phrase	D'Jernes 2002: 267
Arosi	 Not initial interrogative phrase	Capell 1971: 69
Asmat	 Not initial interrogative phrase	Voorhoeve 1965: passim
Assamese	 Not initial interrogative phrase	Goswami and Tamuli 2003: 437
Atayal	 Not initial interrogative phrase	Rau 1992: 177
