Language	Value	Reference
Aari	 OV	Hayward 1990a: passim
Abau	 OV	Bailey 1975: passim
Abipón	 VO	Najlis 1966: passim 80, 87
Abkhaz	 OV	Hewitt 1979: 103
Abui	 OV	Kratochvil 2007: 11, 18
Abun	 VO	Berry 1995b: 5
Acehnese	 No dominant order	Durie 1985: passim
Achagua	 VO	Wilson and Levinsohn 1992: 2
Achang	 OV	Dai and Cui 1985: 71
Acholi	 VO	Crazzolara 1955: 43
Achuar	 OV	Fast and Fast 1981: 77
Achumawi	 VO	Olmsted 1977: passim
Acoma	 No dominant order	Maring 1967: 107
Adang	 OV	Haan 2001: 220
Adioukrou	 VO	Herault 1978: 27-37, 249, 251, 253-255, passim
Adyghe (Abzakh)	 OV	Paris 1989: 219-220
Adynyamathanha	 No dominant order	Schebeck 1974: passim
Adzera	 VO	Holzknecht 1986: 129
Aekyom	 OV	Horowitz 2008: 4
Agarabi	 OV	Goddard 1967: 15
Aghem	 VO	Watters 1979: 143
Agta (Central)	 VO	Healey 1960: 35
Agta (Dupaningan)	 VO	Robinson 2008: 211
Ainu	 OV	Refsing 1986: 144, 268, 270; Shibatani 1990: 22 ; Dettmer 1989: 913
Aja	 VO	Santandrea 1976: passim
Ajagbe	 No dominant order	Tchitchi 1984: 140-175
Akan	 VO	Welmers 1946: 61; Christaller 1875: 36-37
Akha	 OV	Dellinger 1969: 25, passim 172-173, 197
Alamblak	 OV	Bruce 1984: 188
Alawa	 No dominant order	Sharpe 1972: passim
Albanian	 VO	Newmark et al. 1982: passim
Aleut	 OV	Bergsland 1997: 126, 138
Alsea	 VO	Frachtenberg 1920: passim
Alune	 VO	Niggemeyer 1951: 65
Alyawarra	 OV	Yallop 1977: 129
Amahuaca	 OV	Russell 1975: 39, 71, passim
Amanab	 OV	Minch 1992: 134
Amara	 VO	Thurston 1996: 213
Ambae (Lolovoli Northeast)	 VO	Hyslop 2001: 57
Ambai	 VO	Silzer 1983: 174
Ambulas	 OV	Wilson 1980: 185, passim
Amdo (Themchen)	 OV	Haller 2004: passim
Amele	 OV	Roberts 1987: 70-71
Amharic	 OV	Leslau 1995: 836
Amis	 VO	Wu 2006: 73-74
Amo	 VO	Di Luzio 1972: 43
Anamuxra	 OV	Ingram 2001
Anejom	 VO	Lynch 2000: 11, 114
Anêm	 VO	Thurston 1982: 16
Angami	 OV	Giridhar 1980: 92
Angas	 VO	Burquest 1973: 18
Anggor	 OV	Litteral 1972: passim
Anguthimri	 OV	Crowley 1981: 148, 179
//Ani	 No dominant order	Heine 1999a: passim
Anindilyakwa	 VO	Leeding 1989: passim
Anong	 OV	Sun 1988: 60
Anufo	 VO	Smye 2004: 49
Anyi	 VO	Retord 1981: 149
Anywa	 No dominant order	Reh 1996: 314-315, 347-353
Ao	 OV	Coupe 2007: 152
Apache (Western)	 OV	Edgerton 1963: 104
Apalaí	 OV	Koehn and Koehn 1986: 34
Apatani	 OV	Abraham 1985: 121
Apinayé	 OV	Callow 1962: 94-5109
Apurinã	 No dominant order	Facundes 2000: 561
Arabana	 OV	Hercus 1994: 261
Arabic (Egyptian)	 VO	Gary and Gamal-Eldin 1982: 25, 59, 61, 102
Arabic (Gulf)	 VO	Holes 1990: 3, 107, 117 
Arabic (Iraqi)	 VO	Erwin 1963: 332 
Arabic (Kuwaiti)	 VO	
Arabic (Modern Standard)	 VO	Cowan 1958: 57 
Arabic (Moroccan)	 VO	Harrell 1962: passim 
Arabic (Syrian)	 VO	Cowell 1964: 380, 407, 411 
Araona	 OV	Pitman 1980: passim
Arapesh (Abu)	 VO	Nekitel 1985: 94
Arapesh (Mountain)	 VO	Conrad and Wogiga 1991: 80
Arbore	 OV	Hayward 1984: 110
Archi	 OV	Kibrik et al. 1977: (III) 197
Aribwatsa	 VO	Holzknecht 1997a: 162
Armenian (Eastern)	 No dominant order	
Armenian (Western)	 OV	Gulian 1965: 103
Arop-Lokep	 VO	D'Jernes 2002: 264
Arosi	 VO	Capell 1971: 16
Arrernte (Mparntwe)	 OV	Wilkins 1989: 432
Asmat	 OV	Voorhoeve 1965: passim
Assamese	 OV	Goswami and Tamuli 2003: 431
Asuriní	 OV	Harrison 1970: 6, 161
Atacameño	 OV	Adelaar 2004: 380 
Atakapa	 OV	Gatschet and Swanton 1932: passim
Atayal	 VO	Egerod 1965: passim
Athpare	 OV	Ebert 1997b: 107
Au	 VO	Scorza 1985: 247
Avar	 OV	Bokarev 1949b: passim
Avikam	 VO	Schang 1995: 41-42
Avokaya	 No dominant order	Kilpatrick 1981: 98
Awa	 OV	McKaughan 1973: passim
Awa Pit	 OV	Curnow 1997: 50
Awtuw	 OV	Feldman 1986: 87, passim
Awyi	 OV	Voorhoeve 1971: 65
Ayiwo	 VO	Wurm et al. 1985: passim
Aymara (Central)	 OV	Ebbing 1965: 9, passim; Wexler 1967: 61
Ayomán	 VO	Adelaar 2004: 129 
Ayoreo	 VO	Adelaar 2004: 497 
Azari (Iranian)	 OV	Dehghani 2000: 136
Azerbaijani	 OV	Householder and Lofti 1965: 25
Babole	 VO	Leitch 1994: passim
Babungo	 VO	Schaub 1985: 62
Bachamal	 No dominant order	Ford 1990: passim
Badimaya	 OV	Dunn 1988: 105
Bafut	 VO	Chumbow and Tamanji 1994: 211
Baga Sitemu	 VO	Ganong 1998: 5
Bagirmi	 VO	Stevenson 1969: 83, 86-87, 98
Bagiro	 VO	Boyeldieu 2000: 208
Baham	 OV	Flassy et al. 1984: 79
Bai	 VO	Xu and Zhao 1984: 76-77
Bajau (Sama)	 VO	Verheijen 1986: passim
Bajau (West Coast)	 VO	Miller 2007: 157, 194 
Baka (in Cameroon)	 VO	Kilian-Hatz 1995: 26
Baka (in South Sudan)	 VO	Santandrea 1976: passim
Bakueri	 VO	Kagaya 1992: 31
Balangao	 VO	Shetler 1976: 134-137
Balanta	 VO	Fudemann 1999: passim
Bali-Vitu	 VO	Ross 2002c: 380
Balti	 OV	Read 1934: 69-70
Bambara	 OV	Bird et al. 1977: 151
Bandjalang	 OV	Crowley 1978: 106
Banggi	 VO	Boutin 1988: 22
Bangime	 OV	Blench 2005: 11
Bankon	 VO	Spellenberg 1969: 82
Banoni	 VO	Lincoln 1976: 68, 118
Bao'an	 OV	Wu 2003: 343
Baoulé	 VO	Carteron 1972: 95
Baragaunle	 OV	Kretschmar 1995: 193
Barai	 OV	Olson 1975: passim
Barambu	 VO	Tucker and Bryan 1966: 156
Barasano	 OV	Garcia and Sanchez 1975: 122; Smith 1973: 6; Jones and Jones 1991: 2
Baré	 VO	Aikhenvald 1996: 44
Bari	 VO	Mitterrutzner 1867: 71 ; Spagnolo 1933: 55, passim 106
Barupu	 OV	Corris 2005: 108
Baruya	 OV	Lloyd 1992: passim
Basaá	 VO	Schürle 1912: passim; Hyman 2003: 277
Basari	 OV	Ferry 1981: 59
Bashkir	 OV	Poppe 1964: 94
Basque	 OV	Saltarelli et al. 1988: 66; Lafitte 1962: 46; Urbina 1989: 81; Rebuschi 1984: 68
Batak (Karo)	 VO	Woollams 1996: 186, 191
Batak (Toba)	 VO	Percival 1981: 80
Baure	 VO	Baptista and Wallin 1967: 11, 30, 33
Bauzi	 OV	Briley 1997: 1
Bawm	 OV	Reichle 1981: 27
Beja	 OV	Hudson 1974: 115; Reinisch 1893: 65
Belhare	 OV	Bickel 2003: 561
Bella Coola	 VO	Nater 1984: 52; Davis and Saunders 1978: 38
Belorussian	 No dominant order	Mayo 1993: 924
Bena-Lulua	 VO	DeClercq 1897: passim
Bengali	 OV	Dasgupta 2003: 375
Bera	 VO	Meinhof 1938/39: 285
Berber (Ayt Seghrouchen Middle Atlas)	 VO	Bentolila 1981: 261
Berber (Chaouia)	 VO	Penchoen 1973a: 61
Berber (Figuig)	 VO	Kossmann 1997: 300
Berber (Middle Atlas)	 VO	Penchoen 1973b: 54; Abdel-Massih 1971: 122
Berber (Rif)	 VO	Kossmann 2000: passim 
Beria	 OV	Crass and Jakobi 2004: 154
Berta	 VO	Tucker and Bryan 1966: 351; Triulzi et al. 1976a: 526
Betoi	 OV	
Betta Kurumba	 OV	Coelho 2003: 141
Bhojpuri	 OV	Shukla 1981: 65-66
Bhumij	 OV	Ramaswami 1992: 132
Biak	 VO	van den Heuvel 2006: 283
Bidiya	 VO	Alio 1986: 341, passim
Bikol	 VO	Mintz 1971a: 88
Bilin	 OV	Reinisch 1882: 98
Biloxi	 OV	Einaudi 1976: 125
Bilua	 VO	Obata 2003
Bimoba	 VO	Jacobs 1970: 80, passim
Binandere	 OV	Wilson 1996: 12
Binga	 VO	Santandrea 1956: passim
Bini	 VO	Dunn 1968: 218
Bininj Gun-Wok	 OV	Evans 2004
Biri	 VO	Terrill 1998: 48
Birom	 VO	Bouquiaux 1970: 340-341, 346, 348, 352
Bisu	 OV	Nishida 1973: 67
Blackfoot	 VO	
Boazi (Kuni)	 OV	Boelaars 1950: 56
Bobangi	 VO	Whitehead 1899: 57
Bodo	 OV	Bhattacharya 1977: 244
Bokar	 OV	Megu 1990: 4-5
Boko	 OV	
Bolia	 VO	Mamet 1960: passim
Bongo	 VO	Santandrea 1963: passim
Bongu	 OV	Hanke 1909: 82
Bontok	 VO	Seidenadel 1909: 70
Bori	 OV	Megu 1988: passim
Bororo	 VO	Huestis 1963: 233
Brao	 VO	Keller 1976: 12
Breton	 VO	Press 1986: 187
Bribri	 OV	Margery Peña 1982: lxx
Brokskat	 OV	Ramaswami 1982: 85
Bubi	 VO	Abad 1928: 87
Budu	 VO	Asangama 1983: passim
Buduma	 VO	Lukas and Nachtigal 1939: 74
Bugis	 VO	Samsuri 1965: 189, passim
Bugun	 OV	Dondrup 1990: passim
Buin	 OV	Grisward and Kieta 1910: 87
Bularnu	 OV	Breen 1980: 87
Bulgarian	 VO	Hubenova et al. 1968: 31; Dyer 1992: 16, 55, 149 ; Scatton 1984: 374, passim
Buli (in Ghana)	 VO	
Buma	 VO	Tryon 2002: 582
Bunan	 OV	Sharma 1989b: 256
Bunuba	 No dominant order	Rumsey 2000: passim
Bunu (Younuo)	 VO	Mao and Tsu-yao 1972: 250-251
Burarra	 OV	Glasgow and Garner 1980: 45
Buriat	 OV	Poppe 1960: 115
Burmese	 OV	Okell 1969: 123
Buru	 VO	Grimes 1991: passim 351
Burunge	 VO	Kiessling 1994: 205, 206
Burushaski	 OV	Berger 1974: 54 ; Lorimer 1935: 402; Tiffou and Pesot 1989: 70
Busa	 OV	Wedekind 1972: 26
Bushoong	 VO	Edmiston 1932: 191
Bwele	 VO	Twilingiyimana 1984: passim
Byansi	 OV	Trivedi 1991: passim
Cahuilla	 OV	Seiler 1977: 228
Cakchiquel	 VO	García Matzar and Rodríguez Guaján 1997: 333
Camling	 OV	Ebert 1997a: 52
Campa (Axininca)	 VO	Payne 1981: passim
Camsá	 No dominant order	Fabre 2002: 176
Candoshi	 OV	Anderson and Wise 1963: 75
Canela	 OV	Popjes and Popjes 1986: 129, 136
Cantonese	 VO	Matthews and Yip 1994: 68 
Carib	 OV	Hoff 1968: 165-166
Carib (De'kwana)	 OV	Hall 1988: passim 47
Cashibo	 OV	Abreu 1914: 30
Catalan	 VO	Hualde 1992: 96
Catawba	 OV	Voorhis 2003: 259
Cavineña	 No dominant order	Guillaume 2004: passim 
Cayapa	 OV	Abrahamson 1962: 223
Cayuvava	 VO	Key 1967: 50-51, 38-40
Cebuano	 VO	Wolff 1966: passim
Cèmuhî	 VO	Lynch 2002c: 761
Chácobo	 OV	Prost 1967: 296, passim
Chaga	 VO	Raum 1909: 222
Chaha	 OV	Leslau 1950: 31
Chai	 No dominant order	Last and Lucassen 1998: 409
Chambri	 OV	Laycock and Z'graggen 1975: 757
Cham (Eastern)	 VO	Aymonier 1889: 74
Chamorro	 VO	Topping 1973: 237 
Cham (Western)	 VO	Baumgartner 1998: 1
Chang	 OV	Hutton 1987: 48
Chantyal	 OV	Noonan 2003b: 329
Chatino (Sierra Occidental)	 VO	Pride 1965: 73, 75
Chatino (Yaitepec)	 VO	Rasch 2002: 143
Chaudangsi	 OV	Sharma 1989a: 188
Chechen	 OV	Desheriev 1967: 206, 200; Nichols 1994a: 54, 58
Chemehuevi	 No dominant order	Press 1979: 120
Chepang	 OV	Caughley 1982: 39
Cherokee	 OV	Scancarelli 1987: 187-188
Chichewa	 VO	Price 1966: passim; Mchombo 2004: 19 
Chimariko	 OV	Dixon 1910: passim
Chinantec (Comaltepec)	 VO	Anderson 1989: 36
Chinantec (Lealao)	 VO	Rupp 1989: 38-39
Chinantec (Palantla)	 VO	Merrifield 1968: 45
Chinantec (Quiotepec)	 VO	Robbins 1968: 111
Chin (Mara)	 OV	Lorrain 1951: passim
Chinook (Lower)	 VO	Boas 1911b: 647
Chin (Siyin)	 OV	Naylor 1925: passim
Chin (Tiddim)	 OV	Henderson 1965: passim
Chipaya	 OV	Cerron Palomino 2006: 219
Chipewyan	 OV	Richardson 1968: 3
Chiquitano	 VO	Adelaar 2004: 488 
Chitimacha	 OV	Swadesh 1946b: 332
Choctaw	 OV	Davies 1981c: 15; Broadwell 1986: 1
Cholón	 OV	Alexander Bakkerus 2005: 147
Chontal (Huamelultec Oaxaca)	 VO	Waterhouse 1949: passim
Chontal Maya	 VO	Knowles 1984: 312
Chrau	 VO	Thomas 1971: 68-69, 78
Chuj	 VO	Buenrostro 1991: 34
Chukchi	 OV	Dunn 1999: 81
Chumash (Barbareño)	 VO	Beeler 1976: 267-268
Chuvash	 OV	Krueger 1961: 140, 182
Coahuilteco	 OV	Troike 1967: 324
Cocama	 VO	Faust 1972: 27-28; Faust 1971: 76
Coeur d'Alene	 VO	Doak 1997: 50
Comanche	 OV	Canonge 1958: passim; Wistrand-Robinson and Armagost 1990: 249; Charney 1993: 193?
Comox	 VO	Hagège 1981: 55
Coos (Hanis)	 No dominant order	Frachtenberg 1913: passim
Coptic	 VO	Plumley 1948: 148; Lambdin 1983: 123 
Cora	 VO	Casad 1984: 168, 172
Cornish	 VO	Jenner 1904: 158
Cree (Plains)	 VO	Hive 1948: passim
Cree (Swampy)	 VO	
Crow	 OV	Lowie 1941: 5
Cua	 VO	Burton 1969: 5, 8
Cubeo	 OV	Morse and Maxwell 1999a: 141
Cuiba	 OV	Berg and Kerr 1973: 11, 12
Cuica	 VO	Adelaar 2004: 127 
Cupeño	 OV	Hill 2005: 429
Czech	 VO	Harkins 1953: 35, 272
Dadjriwalé	 No dominant order	Gode 2008: 228
Daga	 OV	Murane 1974: 133
Dagaare	 VO	Bodomo 1997: 41
Dagbani	 VO	Olawsky 1999: 37
Dagur	 OV	Martin 1961: passim
