Language	Value	Reference
Aari	 Noun-Demonstrative	Hayward 1990a: 458
Abau	 Noun-Demonstrative	Bailey 1975: passim
Abipón	 Demonstrative-Noun	Najlis 1966: 89
Abkhaz	 Demonstrative-Noun	Hewitt 1979: 57
Abui	 Demonstrative-Noun	Kratochvil 2007: 11
Abun	 Noun-Demonstrative	Berry 1995b: 97, 102
Acehnese	 Noun-Demonstrative	Durie 1985: 108
Achang	 Noun-Demonstrative	Dai and Cui 1985: passim 64
Acoma	 Demonstrative-Noun	Maring 1967: 118; Miller 1965: 178
Adang	 Noun-Demonstrative	Haan 2001: 124
Adioukrou	 Noun-Demonstrative	Herault 1978: 62
Adyghe (Abzakh)	 Demonstrative prefix	Paris 1989: 175
Adzera	 Noun-Demonstrative	Holzknecht 1986: 110
Aekyom	 Noun-Demonstrative	Horowitz 2008: own work
Aghem	 Noun-Demonstrative	Hyman 1979: 27
Agta (Central)	 Demonstrative suffix	Healey 1960: 30-31
Agta (Dupaningan)	 Mixed	Robinson 2008: passim
Ainu	 Demonstrative-Noun	Shibatani 1990: 24 ; Refsing 1986: 153-155, 274-275; Dettmer 1989: passim
Ajagbe	 Noun-Demonstrative	Tchitchi 1984: 278
Akan	 Noun-Demonstrative	Welmers 1946: 51; Christaller 1875: 106, 49
Akha	 Noun-Demonstrative	Hansson 2003: 241
Ala'ala	 Noun-Demonstrative	Ross 2002d: 351
Alamblak	 Demonstrative-Noun	Bruce 1984: 99, 100
Alawa	 Demonstrative-Noun	Sharpe 1972: passim
Albanian	 Demonstrative-Noun	Newmark et al. 1982: 120, 122
Alsea	 Demonstrative-Noun	Frachtenberg 1920: passim
Alune	 Noun-Demonstrative	Niggemeyer 1951: 57
Alyawarra	 Noun-Demonstrative	Yallop 1977: 112, 116
Amahuaca	 Demonstrative-Noun	Russell 1975: 74, passim
Amanab	 Demonstrative-Noun	Minch 1992: 130
Amara	 Noun-Demonstrative	Thurston 1996: 213
Amarakaeri	 Demonstrative-Noun	Helberg Chávez 1984: 431, 437
Ambae (Lolovoli Northeast)	 Noun-Demonstrative	Hyslop 2001: 105
Ambai	 Noun-Demonstrative	Silzer 1983: 79, 85, 102
Ambulas	 Demonstrative-Noun	Wilson 1980: 85, passim
Amele	 Noun-Demonstrative	Roberts 1987: 89
Amharic	 Demonstrative-Noun	Cotterell 1964: 12
Amis	 Demonstrative-Noun	Wu 2006: 92
Amo	 Noun-Demonstrative	Di Luzio 1972: 20
Anamuxra	 Noun-Demonstrative	Ingram 2001
Andoke	 Demonstrative-Noun	Landaburu 1979: 154
Anejom	 Noun-Demonstrative	Lynch 2000: 54
Anêm	 Noun-Demonstrative	Thurston 1982: 25
Angami	 Noun-Demonstrative	Subbarao and Murthy 2000: passim
Angas	 Noun-Demonstrative	Burquest 1973: 51, 200
Anggor	 Noun-Demonstrative	Litteral 1972: passim; Litteral 1980: passim
Anguthimri	 Noun-Demonstrative	Crowley 1981: 178
//Ani	 Demonstrative-Noun	Heine 1999a: 34
Anindilyakwa	 Demonstrative-Noun	Leeding 1989: passim
Anong	 Noun-Demonstrative	Sun 1988: 60
Anufo	 Demonstrative-Noun	Smye 2004: 28
