Language	Value	Reference
Abipón	 VOX	Najlis 1966: 88
Abkhaz	 XOV	Hewitt 1979: 52
Abun	 VOX	Berry 1995b: 71
Acehnese	 No dominant order	Durie 1985: 196
Achumawi	 No dominant order	Olmsted 1977: passim
Acoma	 No dominant order	Maring 1967: 107, 120; Miller 1965: 179
Adioukrou	 VOX	Herault 1978: passim
Adynyamathanha	 No dominant order	Schebeck 1974: passim
Adzera	 VOX	Holzknecht 1986: 129-131
Ajagbe	 No dominant order	Tchitchi 1984: 140-175
Alamblak	 No dominant order	Bruce 1984: passim 184-188
Alawa	 No dominant order	Sharpe 1972: passim
Amanab	 XOV	Minch 1992: 134
Amara	 VOX	Thurston 1996: 213
Ambae (Lolovoli Northeast)	 VOX	Hyslop 2001: 58, passim
Ambai	 VOX	Silzer 1983: 174
Amele	 XOV	Roberts 1987: 71, 77
Anejom	 VOX	Lynch 2000: 132
Angas	 VOX	Burquest 1973: 25, 31, 123
Anggor	 XOV	Litteral 1980: 100, 101
Anguthimri	 OXV	Crowley 1981: 179
//Ani	 No dominant order	Heine 1999a: passim
Anyi	 VOX	Retord 1981: 149
Anywa	 No dominant order	Reh 1996: 314-315, 347-353
Apache (Western)	 OXV	Edgerton 1963: 104
Apalaí	 OVX	Koehn and Koehn 1986: 37
Apinayé	 XOV	Callow 1962: 94, 109
Apurinã	 No dominant order	Facundes 2000: 468-469
Arabic (Egyptian)	 VOX	Gary and Gamal-Eldin 1982: 25
Arabic (Gulf)	 VOX	Holes 1990: 3 
Arabic (Modern Standard)	 VOX	Cowan 1958: 192 
Archi	 XOV	Kibrik et al. 1977: passim
Armenian (Eastern)	 No dominant order	
Armenian (Western)	 No dominant order	Gulian 1965: 104
Arosi	 VOX	Capell 1971: 16
Au	 VOX	Scorza 1985: 247
Avikam	 VOX	Schang 1995: 43
Avokaya	 No dominant order	Kilpatrick 1984: passim; Kilpatrick 1981: 98
Awa Pit	 XOV	Curnow 1997: 50, 102
Awtuw	 No dominant order	Feldman 1986: passim
Bachamal	 No dominant order	Ford 1990: 4, 8, passim
