Language	Value	Reference
Aari	 Genitive-Noun	Hayward 1990a: 446
Abau	 Genitive-Noun	Bailey 1975: passim
Abipón	 No dominant order	Najlis 1966: 82-83, 89
Abkhaz	 Genitive-Noun	Hewitt 1979: 116
Abui	 Genitive-Noun	Kratochvil 2007: 13
Abun	 Genitive-Noun	Berry 1995b: 111ff
Acehnese	 Noun-Genitive	Durie 1985: passim
Achagua	 Genitive-Noun	Wilson and Levinsohn 1992: 4
Achang	 Genitive-Noun	Dai and Cui 1985: passim 63, 72
Acholi	 Noun-Genitive	Crazzolara 1955: 43
Achuar	 Genitive-Noun	Fast and Fast 1981: 94
Acoma	 Genitive-Noun	Maring 1967: passim; Miller 1965: 177
Adang	 Genitive-Noun	Haan 2001: 127-148
Adioukrou	 Genitive-Noun	Herault 1978: 74, passim
Adynyamathanha	 Genitive-Noun	Schebeck 1974: 61
Adzera	 Genitive-Noun	Holzknecht 1986: 97-99
Aekyom	 Genitive-Noun	Horowitz 2008: 4
Agarabi	 Genitive-Noun	Goddard 1967: passim
Aghem	 Noun-Genitive	Hyman 1979: 35
Agta (Central)	 Noun-Genitive	Healey 1960: 26
Agta (Dupaningan)	 Noun-Genitive	Robinson 2008: 103
Ainu	 Genitive-Noun	Dettmer 1989: 175; Shibatani 1990: 23, 37 
Aja	 Noun-Genitive	Santandrea 1976: 76-77
Ajagbe	 No dominant order	Tchitchi 1984: 285, 286
Akan	 Genitive-Noun	Christaller 1875: 108; Welmers 1946: 53
Akha	 Genitive-Noun	Dellinger 1969: passim
Ala'ala	 Genitive-Noun	Ross 2002d: 351
Alamblak	 Genitive-Noun	Bruce 1984: 99
Albanian	 Noun-Genitive	Newmark 1957: passim; Newmark et al. 1982: 136
Alsea	 Genitive-Noun	Buckley 1989: 22, passim; Buckley 1987: 6-7
Alune	 Genitive-Noun	Niggemeyer 1951: 65-66, passim
Alyawarra	 Noun-Genitive	Yallop 1977: 116-118, passim
Ama	 Genitive-Noun	
Amahuaca	 Genitive-Noun	Russell 1975: 73-74, passim
Amanab	 Genitive-Noun	Minch 1992: 128
Ambae (Lolovoli Northeast)	 Noun-Genitive	Hyslop 2001: 166
Ambai	 Genitive-Noun	Silzer 1983: 80, 125
Ambulas	 Genitive-Noun	Wilson 1980: 85, 105, passim
Amdo (Themchen)	 Genitive-Noun	Haller 2004: 61
Amele	 Genitive-Noun	Roberts 1987: 85, 86, 93, passim
Amharic	 Genitive-Noun	Leslau 1995: 191
Amis	 Noun-Genitive	Wu 2006: 91, 94
Anamuxra	 Genitive-Noun	Ingram 2001
Andoke	 Genitive-Noun	Landaburu 1979: 177
Anejom	 Noun-Genitive	Lynch 2000: 58-60
Anêm	 No dominant order	Thurston 1982: 40
Angami	 Genitive-Noun	Giridhar 1980: 93
Angas	 Noun-Genitive	Burquest 1973: 50
Anggor	 Genitive-Noun	Litteral 1980: 79, 91
//Ani	 Genitive-Noun	Heine 1999a: 40
Anindilyakwa	 No dominant order	Leeding 1989: passim
Anong	 Genitive-Noun	Sun 1988: 60
Anufo	 Genitive-Noun	Smye 2004: 26
Anyi	 Genitive-Noun	Retord 1981: 149
Anywa	 Noun-Genitive	Lusted 1976: 509
Ao	 Genitive-Noun	Gowda 1975: 43; Mills 1926: 338
Apalaí	 Genitive-Noun	Koehn and Koehn 1986: 85
Apatani	 Genitive-Noun	Abraham 1985: 49, 125
Apinayé	 Genitive-Noun	Callow 1962: 128-129, passim
Apurinã	 Genitive-Noun	Facundes 2000: 156, 206, 452, 458; Polak 1894: 3
Arabana	 No dominant order	Hercus 1994: 73-74
Arabic (Egyptian)	 Noun-Genitive	Gary and Gamal-Eldin 1982: 31, 48-49
Arabic (Gulf)	 Noun-Genitive	Holes 1990: 96, 158 
Arabic (Iraqi)	 Noun-Genitive	Erwin 1963: 368 
Arabic (Kuwaiti)	 Noun-Genitive	
Arabic (Modern Standard)	 Noun-Genitive	Cowan 1958: 33 
Arabic (Moroccan)	 Noun-Genitive	Harrell 1962: 189, 191, 202 
Arabic (Syrian)	 Noun-Genitive	Cowell 1964: 455 
Araona	 Genitive-Noun	Pitman 1980: 75
Arapesh (Mountain)	 No dominant order	Conrad and Wogiga 1991: 57
Arbore	 Noun-Genitive	Hayward 1984: 150-152
Archi	 Genitive-Noun	Kibrik et al. 1977: (III) 195
Aribwatsa	 Genitive-Noun	Holzknecht 1997a: 156, 157
Armenian (Eastern)	 Genitive-Noun	Stevick 1955: 55-57
Armenian (Western)	 Genitive-Noun	Gulian 1965: 10
Arop-Lokep	 No dominant order	D'Jernes 2002: 257
Arosi	 Noun-Genitive	Capell 1971: 60-62
Arrernte (Western)	 Noun-Genitive	Strehlow 1944: 75
Asmat	 Genitive-Noun	Voorhoeve 1965: passim
Assamese	 Genitive-Noun	Goswami and Tamuli 2003: 433
Atakapa	 Genitive-Noun	Gatschet and Swanton 1932: passim
Atayal	 Noun-Genitive	Egerod 1966a: passim; Rau 1992: 113; Egerod 1965: passim
Athpare	 Genitive-Noun	Ebert 1997b: passim 125
Au	 No dominant order	Scorza 1985: 240, 242
Avar	 Genitive-Noun	Bokarev 1949b: 168
Avokaya	 No dominant order	Kilpatrick 1984: passim
Awa	 Genitive-Noun	Loving 1973: 78, 80
Awa Pit	 Genitive-Noun	Curnow 1997: 117, 123ff
Awtuw	 Genitive-Noun	Feldman 1986: 116, passim
Ayiwo	 Noun-Genitive	Wurm et al. 1985: passim
Aymara (Central)	 Genitive-Noun	Ebbing 1965: 10; Wexler 1967: 10, 12
Ayomán	 Genitive-Noun	Adelaar 2004: 129 
Ayoreo	 Genitive-Noun	Adelaar 2004: 497 
Azerbaijani	 Genitive-Noun	Householder and Lofti 1965: passim
Badimaya	 Genitive-Noun	Dunn 1988: 57
Bafia	 Noun-Genitive	Guarisma 1973: 201-204
Bagirmi	 Noun-Genitive	Stevenson 1969: 57
Bagiro	 Noun-Genitive	Boyeldieu 2000: 97
Bai	 Genitive-Noun	Xu and Zhao 1984: 64, passim
Bajau (Sama)	 Noun-Genitive	Verheijen 1986: passim
Bajau (West Coast)	 Noun-Genitive	Miller 2007: 312-313, 315 
Baka (in Cameroon)	 Noun-Genitive	Kilian-Hatz 1995: 22
Baka (in South Sudan)	 Noun-Genitive	Santandrea 1976: 115
Bakueri	 Noun-Genitive	Kagaya 1992: 15
Balanta	 Noun-Genitive	Fudemann 1999: 202
Bali-Vitu	 Noun-Genitive	Ross 2002c: 370, 371
Bambara	 Genitive-Noun	Bird et al. 1977: 63
Bankon	 Noun-Genitive	Spellenberg 1969: 35
Banoni	 Noun-Genitive	Lincoln 1976: 85, 92, 96, 108, passim
Barai	 Genitive-Noun	Olson 1975: 490, 493
Barambu	 Noun-Genitive	Tucker and Bryan 1966: 158
Barasano	 Genitive-Noun	Jones and Jones 1991: 61; Smith 1973: 21-22, 24-25; Garcia and Sanchez 1975: 98
Baré	 Genitive-Noun	Aikhenvald 1996: 14, 40
Bari	 Noun-Genitive	Spagnolo 1933: 55, 63
Barupu	 Noun-Genitive	Corris 2005: 146
Baruya	 Genitive-Noun	Lloyd 1969: 54; Lloyd 1989: 53-54
Basaá	 Noun-Genitive	Hyman 2003: 271; Schürle 1912: 11
Basari	 Noun-Genitive	Ferry 1981: 58
Bashkir	 Genitive-Noun	Poppe 1964: 80, 82
Basque	 Genitive-Noun	Hualde and Ortiz de Urbina 2003: 144
Batak (Karo)	 Noun-Genitive	Woollams 1996: 106, 134
Batak (Toba)	 Noun-Genitive	Percival 1981: 98; Nababan 1981: 81, 108; van der Tuuk 1864: passim 
Baure	 Noun-Genitive	Baptista and Wallin 1967: passim
Bawm	 Genitive-Noun	Reichle 1981: 39-40
Beja	 Genitive-Noun	Reinisch 1893: 68
Belhare	 Genitive-Noun	Bickel 2003: 562
Bella Coola	 Noun-Genitive	Davis and Saunders 1980: passim; Davis and Saunders 1997: 105-106
Belorussian	 Noun-Genitive	Mayo 1993: 926, 935
Benga	 Noun-Genitive	Mackey and Nassau 1892: 12
Bera	 Noun-Genitive	Meinhof 1938/39: 285
Berber (Chaouia)	 Noun-Genitive	Penchoen 1973a: 24
Berber (Figuig)	 Noun-Genitive	Kossmann 1997: 245
Berber (Middle Atlas)	 Noun-Genitive	Penchoen 1973b: 63; Abdel-Massih 1971: 121
Berber (Rif)	 Noun-Genitive	Kossmann 2000: 107-109 
Beria	 No dominant order	Crass and Jakobi 2004: 140
Bhojpuri	 Genitive-Noun	Shukla 1981: 92, 99
Bhumij	 Genitive-Noun	Ramaswami 1992: 137
Biak	 Genitive-Noun	van den Heuvel 2006: 229
Bidiya	 Noun-Genitive	Alio 1986: 215-216
Bikol	 No dominant order	Mintz 1971a: 62ff., 70
Bilin	 Genitive-Noun	Reinisch 1882: 93
Bilinarra	 No dominant order	Nordlinger 1990: 50
Biloxi	 Genitive-Noun	Einaudi 1976: 139-140
Bilua	 Genitive-Noun	Obata 2003
Bimoba	 Genitive-Noun	Jacobs 1970: 157-158, 159-162
Binandere	 Genitive-Noun	Wilson 1996: 14
Bini	 Noun-Genitive	Dunn 1968: 209, 211
Bininj Gun-Wok	 Genitive-Noun	Evans 2004
Biri	 Genitive-Noun	Terrill 1998: 55
Birom	 Noun-Genitive	Bouquiaux 1970: 281
Blackfoot	 Genitive-Noun	Uhlenbeck 1938: 25
Bobangi	 Noun-Genitive	Whitehead 1899: 19, 63
Bodo	 Genitive-Noun	Bhattacharya 1977: 149
Boko	 Genitive-Noun	
Bolia	 Noun-Genitive	Mamet 1960: 30
Bongo	 Noun-Genitive	Santandrea 1963: 29, 35
Bongu	 Genitive-Noun	Hanke 1909: 83
Bontok	 Noun-Genitive	Seidenadel 1909: 25, 26
Brao	 Noun-Genitive	Keller 1976: 29, 30
Breton	 Noun-Genitive	Press 1986: 187, 211
Bribri	 Genitive-Noun	Margery Peña 1982: xxi-xxii
Brokskat	 Genitive-Noun	Ramaswami 1982: 86-87
Budu	 Noun-Genitive	Asangama 1983: 253-254
Buduma	 Noun-Genitive	Lukas and Nachtigal 1939: 26-28
Bugis	 Noun-Genitive	Sirk 1983: 81
Bulgarian	 No dominant order	Scatton 1984: 316-317
Bulu	 Noun-Genitive	Bates 1904: 26
Buma	 Noun-Genitive	Tryon 2002: 577
Bunuba	 Genitive-Noun	Rumsey 2000: 114, passim
Bunu (Younuo)	 Genitive-Noun	Mao and Tsu-yao 1972: 252
Buriat	 Genitive-Noun	Poppe 1960: 110
Burmese	 Genitive-Noun	Okell 1969: 56; Wheatley 1982: 103
Buru	 Genitive-Noun	Grimes 1991: 190
Burunge	 Noun-Genitive	Kiessling 1994: 197
Burushaski	 Genitive-Noun	Lorimer 1935: passim 403-404; Tiffou and Pesot 1989: 70
Busa	 Genitive-Noun	Wedekind 1972: 23-24
Byansi	 Genitive-Noun	Trivedi 1991: 38-39, 149
Cahuilla	 Genitive-Noun	Seiler 1977: 228
Cakchiquel	 Noun-Genitive	García Matzar and Rodríguez Guaján 1997: 254
Camling	 Genitive-Noun	Ebert 1997a: 46, 52
Campa (Axininca)	 Genitive-Noun	Payne 1981: 10, passim
Canamarí	 Genitive-Noun	
Candoshi	 Genitive-Noun	Anderson and Wise 1963: 94
Canela	 Genitive-Noun	Popjes and Popjes 1986: 169
Cantonese	 Genitive-Noun	Matthews and Yip 1994: 107 
Carib	 Genitive-Noun	Hoff 1968: passim
Carib (De'kwana)	 Genitive-Noun	Hall 1988: 49, 76
Cashibo	 Genitive-Noun	Abreu 1914: 19
Catalan	 Noun-Genitive	Hualde 1992: 124, 214
Catawba	 Genitive-Noun	Voorhis 2003: 261
Cavineña	 Genitive-Noun	Guillaume 2004: 69, 423 
Cayapa	 Genitive-Noun	Abrahamson 1962: 229
Cayuvava	 Noun-Genitive	Key 1967: 50, passim
Cebuano	 Noun-Genitive	Wolff 1966: passim
Cèmuhî	 Noun-Genitive	Lynch 2002c: 758
Chácobo	 Genitive-Noun	Prost 1967: passim
Chaha	 Genitive-Noun	Leslau 1950: 17, 31
Chai	 Noun-Genitive	Last and Lucassen 1998: 411
Chaldean (Modern)	 Noun-Genitive	Sara 1974: 105
Cham (Eastern)	 Noun-Genitive	Aymonier 1889: 74
Chamorro	 Noun-Genitive	Topping 1973: 222 
Chang	 Genitive-Noun	Hutton 1987: 11, passim
Chantyal	 Genitive-Noun	Noonan 2003b: 329
Chatino (Sierra Occidental)	 Noun-Genitive	Pride 1965: 33-35
Chatino (Yaitepec)	 Noun-Genitive	Rasch 2002: 65, 82
