Language	Value	Reference
Abipón	 Initial subordinator word	Najlis 1966: 88
Abkhaz	 Subordinating suffix	Hewitt 1979: 231-233
Abun	 Mixed	Berry 1995b: 8; Berry 1995a: 120ff., 137, 139
Acehnese	 Initial subordinator word	Durie 1985: 258
Acholi	 Initial subordinator word	Crazzolara 1955: passim
Acoma	 Initial subordinator word	Maring 1967: 128, passim
Adioukrou	 Mixed	Herault 1978: 395, 402, 404
Adynyamathanha	 Initial subordinator word	Schebeck 1974: 45
Ainu	 Final subordinator word	Refsing 1986: passim 246-258; Shibatani 1990: 22 
Akan	 Mixed	Welmers 1946: 62, 72; Christaller 1875: 91ff
Akha	 Final subordinator word	Dellinger 1969: passim 44, 197-198
Ala'ala	 Initial subordinator word	Symonds 1989: 60
Alawa	 Initial subordinator word	Sharpe 1972: 117-118
Albanian	 Initial subordinator word	Newmark et al. 1982: 305-308
Alune	 Initial subordinator word	Niggemeyer 1951: passim
Ambae (Lolovoli Northeast)	 Initial subordinator word	Hyslop 2001: 101, 415
Ambulas	 Mixed	Wilson 1980: 269-282
Amele	 Final subordinator word	Roberts 1987: 45
Amharic	 Final subordinator word	Cowley et al. 1976: 82
Amo	 Initial subordinator word	Di Luzio 1972: 45
Anejom	 Mixed	Lynch 2000: 157, 159, 165
Angami	 Final subordinator word	Giridhar 1980: 96-100
//Ani	 Initial subordinator word	Heine 1999a: 74
Anindilyakwa	 Mixed	Leeding 1989: passim
Ao	 Subordinating suffix	Mills 1926: 356
Apalaí	 Subordinating suffix	Koehn and Koehn 1986: 74-80
Apatani	 Final subordinator word	Abraham 1985: 138-139
Apurinã	 Initial subordinator word	Facundes 2000: 614
Arabic (Egyptian)	 Initial subordinator word	Gary and Gamal-Eldin 1982: 19, 21
Arabic (Gulf)	 Initial subordinator word	Holes 1990: 25 
Arabic (Iraqi)	 Initial subordinator word	Erwin 1963: 307, 387, 391 
Arabic (Kuwaiti)	 Initial subordinator word	
Arabic (Modern Standard)	 Initial subordinator word	Cowan 1958: passim 
Arabic (Moroccan)	 Initial subordinator word	Harrell 1962: 168, 212 
Arabic (Syrian)	 Initial subordinator word	Cowell 1964: 490 
Araona	 Final subordinator word	Pitman 1980: 101
Arapesh (Mountain)	 Mixed	Conrad and Wogiga 1991: 92-93
Armenian (Eastern)	 Initial subordinator word	Stevick 1955: passim
Armenian (Western)	 Initial subordinator word	Gulian 1965: passim
Arop-Lokep	 Initial subordinator word	D'Jernes 2002: 268
Asmat	 Final subordinator word	Voorhoeve 1965: 91-92, 175
Atayal	 Initial subordinator word	Rau 1992: 190, 193
Athpare	 Final subordinator word	Ebert 1997b: 149-151
Au	 Initial subordinator word	Scorza 1985: 252-255
Avokaya	 Mixed	Kilpatrick 1984: passim 98
Awa Pit	 Mixed	Curnow 1997: 143, 265, 271-277
Awtuw	 Final subordinator word	Feldman 1986: passim
Ayiwo	 Initial subordinator word	Wurm et al. 1985: passim
Bagirmi	 Initial subordinator word	Stevenson 1969: 180-193
Bajau (Sama)	 Initial subordinator word	Verheijen 1986: passim
Bajau (West Coast)	 Initial subordinator word	Miller 2007: 414 
Baka (in Cameroon)	 Initial subordinator word	Kilian-Hatz 1989: xxv
Baka (in South Sudan)	 Initial subordinator word	Santandrea 1976: passim
Bali-Vitu	 Initial subordinator word	Ross 2002c: 386
Balti	 Final subordinator word	Read 1934: 69
Barai	 Subordinating suffix	Olson 1975: 499
Barasano	 Subordinating suffix	Jones and Jones 1991: 39, 159
Bari	 Initial subordinator word	Spagnolo 1933: 254-263; Mitterrutzner 1867: 72 
Bashkir	 Initial subordinator word	Poppe 1964: 58
Basque	 Final subordinator word	Ithurry 1895: passim; Lafitte 1962: 49
Batak (Karo)	 Initial subordinator word	Woollams 1996: 333-339
Batak (Toba)	 Initial subordinator word	Nababan 1981: 115, passim; van der Tuuk 1864: passim ; Percival 1981: 106
Baure	 Initial subordinator word	Baptista and Wallin 1967: passim
Bawm	 Final subordinator word	Reichle 1981: 69, 74, 81, 126
Beja	 Subordinating suffix	Hudson 1974: 139-140; Reinisch 1893: 158-161, 188-191
Berber (Figuig)	 Initial subordinator word	Kossmann 1997: 327-333
Berber (Middle Atlas)	 Initial subordinator word	Penchoen 1973b: 73-76; Abdel-Massih 1971: 141-143, 150-151
Berber (Rif)	 Initial subordinator word	Kossmann 2000: 194-201 
Beria	 Final subordinator word	Crass and Jakobi 2004: 181
Betta Kurumba	 Final subordinator word	Coelho 2003: passim
Bhojpuri	 Initial subordinator word	Shukla 1981: 154
Biak	 Initial subordinator word	van den Heuvel 2006: 403
Bikol	 Initial subordinator word	Mintz 1971a: 109-110
Bilinarra	 Initial subordinator word	Nordlinger 1990: 125-127
Biloxi	 Final subordinator word	Einaudi 1976: 162-163
Bilua	 Mixed	Obata 2003
Bimoba	 Mixed	Jacobs 1970: 43, 46, 73
Bininj Gun-Wok	 Initial subordinator word	Evans 2004
Birom	 Initial subordinator word	Bouquiaux 1970: 396, passim 440-447
Bongo	 Internal subordinator word	Santandrea 1963: passim
Bontok	 Initial subordinator word	Seidenadel 1909: 250-258
Breton	 Initial subordinator word	Press 1986: 209
Budu	 Initial subordinator word	Asangama 1983: 403-405
Buduma	 Final subordinator word	Lukas and Nachtigal 1939: 79-81
Bugis	 Initial subordinator word	Sirk 1983: 74
Bularnu	 Initial subordinator word	Breen 1980: 105
Bulgarian	 Initial subordinator word	Scatton 1984: passim
Buma	 Initial subordinator word	Tryon 2002: 585
Burmese	 Subordinating suffix	Okell 1969: 119-120, passim; Cornyn and Roop 1968: 161
Burushaski	 Mixed	Lorimer 1935: 383, 387, 388, 389
Bushoong	 Initial subordinator word	Edmiston 1932: 197, 202
Byansi	 Mixed	Trivedi 1991: 131, 162
Cantonese	 Mixed	Matthews and Yip 1994: 293-302 
Carapana	 Subordinating suffix	Metzger 1981: 199-200, 203
Carib	 Final subordinator word	Hoff 1968: passim
Catawba	 Final subordinator word	Voorhis 2003: 262
